Month,Year,Date,American Canyon,American Canyon,American Canyon,American Canyon,American Canyon,Benicia,Benicia,Benicia,Benicia,Benicia,Burlingame,Burlingame,Burlingame,Burlingame,Burlingame,CCCSD,CCCSD,CCCSD,CCCSD,CCCSD,CMSA,CMSA,CMSA,CMSA,CMSA,Port Costa,Port Costa,Port Costa,Port Costa,Port Costa,Delta Diablo,Delta Diablo,Delta Diablo,Delta Diablo,Delta Diablo,EBDA,EBDA,EBDA,EBDA,EBDA,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,Fairfield-Suisun,Fairfield-Suisun,Fairfield-Suisun,Fairfield-Suisun,Fairfield-Suisun,Las Gallinas,Las Gallinas,Las Gallinas,Las Gallinas,Las Gallinas,Paradise Cove,Paradise Cove,Paradise Cove,Paradise Cove,Paradise Cove,Tiburon,Tiburon,Tiburon,Tiburon,Tiburon,Millbrae,Millbrae,Millbrae,Millbrae,Millbrae,Mt View,Mt View,Mt View,Mt View,Mt View,Napa,Napa,Napa,Napa,Napa,Novato,Novato,Novato,Novato,Novato,Palo Alto,Palo Alto,Palo Alto,Palo Alto,Palo Alto,Petaluma,Petaluma,Petaluma,Petaluma,Petaluma,Pinole,Pinole,Pinole,Pinole,Pinole,Rodeo,Rodeo,Rodeo,Rodeo,Rodeo,SFO Airport,SFO Airport,SFO Airport,SFO Airport,SFO Airport,SFPUC Southeast Plant,SFPUC Southeast Plant,SFPUC Southeast Plant,SFPUC Southeast Plant,SFPUC Southeast Plant,San Jose,San Jose,San Jose,San Jose,San Jose,San Mateo,San Mateo,San Mateo,San Mateo,San Mateo,SMCSD,SMCSD,SMCSD,SMCSD,SMCSD,SASM,SASM,SASM,SASM,SASM,SVCW,SVCW,SVCW,SVCW,SVCW,Sonoma Valley,Sonoma Valley,Sonoma Valley,Sonoma Valley,Sonoma Valley,South SF,South SF,South SF,South SF,South SF,Sunnyvale,Sunnyvale,Sunnyvale,Sunnyvale,Sunnyvale,Treasure Island,Treasure Island,Treasure Island,Treasure Island,Treasure Island,Vallejo,Vallejo,Vallejo,Vallejo,Vallejo,West County,West County,West County,West County,West County
7,2013,7/1/2013,1.1,,,,,2.17,262.4832,28.7911,291.2743,20.5065,2.795,210.8,94.2,305,43.3,33.9133,3474,149.3333,3623.3333,102.3333,5.55,703.269,128.1609,831.4299,125.5338,0.005,0.1239,,,,4.1,428.652,868.2811,1296.9331,20.1474,53.3,5669.7921,953.0325,6622.8246,493.0443,49,8116.416,767.34,8883.756,388.962,10.41,0.787,1295.8499,1296.6369,190.0926,0,0,0,0,0,0.0133,,,,,0.55,,,,,1.64,291.3624,5.9512,297.3136,27.8964,1.075,1.3003,89.5555,90.8558,18.6921,0,0,0,0,0,0,0,0,0,0,22.26,14.2853,2359,2373.2853,400.2001,0,0,0,0,0,2.51,151.8048,74.0048,225.8096,27.5146,0.57,0.5171,25.9198,26.4369,8.4029,0.87,227.9,22.0007,249.9007,25.9799,54.3,8525.8996,451.1165,8977.0162,39.9168,78.3,147.985,3726.48,3874.465,134.285,10,1401.624,6.4241,1408.0481,132.3756,1.23,32.5458,91.1282,123.674,24.1769,1.901,79.0436,119.2121,198.2557,41.6775,11.25,1552.635,102.782,1655.417,163.7118,0,0,0,0,0,8.505,819.693,99.6351,919.3281,167.1629,7.185,5.6155,279.337,284.9525,144.5415,0.226,0.8628,8.4915,9.3544,0.8287,9.035,485.885,304.1161,790.0011,129.5482,6.355,647.6463,6.1327,653.779,28.8263
8,2013,8/1/2013,1.253,1.563,109.2674,110.8304,47.3634,2.09,229.1058,34.7609,263.8667,28.4407,2.955,373,167.9,540.9,192.1,32.555,3595.5,159.5,3755,123,5.7,721.224,140.4913,861.7153,94.7646,0.0048,,,,,6,697.032,849.6287,1546.6607,26.7057,54.5,6537.7746,763.2954,7301.07,494.424,51,9195.606,771.12,9966.726,674.73,10.08,0.9405,1244.8738,1245.8142,206.4727,0,0,0,0,0,0.0139,,,,,0.54,,,,,1.53,248.6862,1.1509,249.8371,16.7719,1.105,1.0025,121.2387,122.2412,23.8083,0,0,0,0,0,0,0,0,0,0,21.225,14.8783,2330,2344.8783,361.5208,0,0,0,0,0,2.52,209.5632,84.7778,294.341,31.4345,0.56,0.6139,19.1147,19.7286,1.8416,1.24,261.077,20.2487,281.3257,38.9038,54,8527.8331,956.0489,9483.882,20.412,82.4,155.74,3935.935,4091.675,176.945,10,1592.6274,5.8431,1598.4705,128.9566,1.19,53.9784,85.016,138.9944,27.439,2.02,25.1975,102.317,127.5145,83.9916,11.95,2011.527,77.6941,2089.2211,196.3521,0,0,0,0,0,8.58,732.6207,253.7438,986.3645,144.4848,9.23,8.3023,212.1905,220.4928,197.6411,0.283,1.7865,8.2284,10.0149,0.107,8.65,486.4331,386.917,873.3501,120.9789,6.225,600.5664,12.7303,613.2967,39.7864
9,2013,9/1/2013,1.2,,,,,2.08,196.56,35.3022,231.8622,28.3046,2.66,332.9,196.5,529.4,172.9,33.41,3630,183.5,3813.5,110.5,5.7,722.358,125.0802,847.4382,103.383,0.0054,,,,,5.65,619.353,766.5481,1385.9011,24.7401,57.45,6522.6735,749.7252,7272.3987,574.9569,49,7375.158,857.871,8233.029,762.426,10.565,1.4152,1702.5305,1703.9457,242.5789,0,0,0,0,0,0.0137,,,,,0.54,,,,,1.6,223.776,9.193,232.969,21.7728,1.224,0.5089,101.8295,102.3384,17.5815,0,0,0,0,0,0,0,0,0,0,21.065,22.8084,2390,2412.8084,354.5652,0,0,0,0,0,2.51,227.7072,225.8096,453.5168,18.0268,0.58,1.4908,30.8931,32.3839,5.9195,1.13,128.9963,19.9047,148.901,13.2413,53.35,7448.5977,919.5082,8368.106,20.1663,82.55,160.84,3974.765,4135.605,323.065,9.7,1539.8397,7.7248,1547.5645,122.0127,1.206,28.7197,83.4238,112.1435,24.6169,1.94,26.3995,120.4111,146.8107,42.5326,11.45,2057.265,94.7079,2151.9729,170.9316,0,0,0,0,0,8.35,789.075,59.8908,848.9658,104.1579,12.405,26.6924,310.178,336.8704,181.4551,0.312,1.3209,12.5967,13.9176,2.288,8.65,425.5751,217.5409,643.116,130.6595,6.235,607.8996,10.4408,618.3404,43.5607
10,2013,10/1/2013,1.3,,,,,1.93,109.431,59.8223,169.2533,28.4521,2.768,227.8,457.3,685.1,160.1,33.33,3635.5,182,3817.5,107.5,5.5,666.036,148.0626,814.0986,99.8298,0.0047,,,,,6.4,750.33,811.5641,1561.8941,31.5252,53.4,5989.7124,715.2516,6704.964,424.9476,47,7102.998,1166.886,8269.884,681.156,11.0645,1.2547,1744.8383,1746.093,187.4564,0,0,0,0,0,0.0144,,,,,0.51,,,,,1.43,232.4322,2.4324,234.8646,17.2973,1.2,0.6804,140.7339,141.4143,18.5976,0,0,0,0,0,4.325,5.2398,206.5046,211.7444,16.2735,21.775,17.7185,2349,2366.7185,383.2907,7.105,5.1563,0.6911,5.8474,59.2647,2.43,229.635,79.913,309.548,17.4523,0.58,7.2122,24.3413,31.5536,4.8082,1,179.928,8.316,188.244,6.426,58.4,10432.9115,600.0504,11032.9619,84.9423,86.75,160.68,5001.53,5162.21,606.31,9.4,1313.3232,14.1047,1327.4279,99.9734,1.36,36.4997,98.1893,134.689,26.2181,1.93,70.0358,127.8154,197.8512,44.5019,11.69,1723.3398,157.0771,1880.4169,170.0055,0,0,0,0,0,8.11,735.6636,126.5625,862.2261,118.0078,12.065,58.4872,404.0979,462.5851,227.7185,0.279,0.4113,12.6734,13.0847,3.09,8.485,534.7661,253.4178,788.1839,125.0859,6.6,661.8402,30.3319,692.1721,38.023
11,2013,11/1/2013,1.203,4.9111,73.2122,78.1233,15.0062,2.345,176.8851,50.9623,227.8474,32.5817,3.275,351.45,139.4,490.85,103.2,34.03,3595.5,255,3850.5,92,6.1,651.861,89.4537,741.3147,73.6533,0.0069,,,,,7.1,824.229,778.2472,1602.4762,28.2933,66.5,8271.9252,567.3818,8839.307,621.0162,65.5,8824.221,846.909,9671.13,957.663,11.6703,1.4984,1661.2821,1662.7806,191.7766,2.29,21.6405,217.4437,239.0842,38.0873,0.0143,,,,,0.53,,,,,1.52,229.824,0.7182,230.5422,17.8114,1.35,0.7715,124.8179,125.5894,22.1678,6.61,3.7694,255.0011,258.7705,11.6443,4.065,2.161,185.5312,187.6922,3.3854,20.235,20.9531,2333,2353.9531,336.4634,5.01,3.4217,0.7599,4.1815,29.4273,2.41,173.0862,171.2642,344.3504,17.3086,0.54,0.5103,26.5968,27.1071,6.1236,1.12,201.9427,12.9125,214.8552,11.8541,59.1,10106.7296,194.4096,10301.1392,32.1716,90.4,210.7967,4194.9233,4405.72,254.2067,9.6,1031.562,220.6348,1252.1968,125.3202,1.25,35.4375,77.49,112.9275,22.2075,1.94,80.6652,130.3843,211.0495,45.4658,12.755,2241.0486,81.6019,2322.6505,204.4602,0,0,0,0,0,9.2933,779.4234,192.9222,972.3456,148.7632,12.2,181.2132,675.0324,856.2456,338.0076,0.331,0.7132,12.2778,12.991,3.4282,9.31,680.841,222.3918,903.2328,144.0344,7.415,690.1146,63.646,753.7606,67.2689
12,2013,12/1/2013,1.41,5.1166,80.5333,85.6499,30.9128,2.27,205.9344,37.154,243.0884,29.174,2.917,172.9,302.5,475.4,129.6,36.325,3703.5,336,4039.5,77.5,5.9,836.325,22.4135,858.7385,80.2872,0.0063,0.1527,,,,6.5,775.656,962.5203,1738.1763,28.8716,70.7333,7744.7916,1216.8828,8961.6744,653.6376,50.5,9146.277,1375.353,10521.63,859.194,12.729,0.9623,1684.4075,1685.3698,221.316,2.16,44.9064,230.0841,274.9905,41.6405,0.0141,,,,,0.56,,,,,1.41,191.8728,0.9327,192.8055,11.7256,1.3,1.769,147.8524,149.6215,20.6388,6.075,4.248,215.9221,220.1701,8.0355,4.14,36.4224,188.6938,225.1162,3.8218,17.18,10.0143,1921,1931.0143,304.1455,6.72,4.3593,5.4609,9.8202,40.1625,2.58,198.3,46.8115,245.1115,15.6038,0.56,17.5694,15.876,33.4454,9.5256,0.96,199.584,14.2612,213.8452,9.4349,57.05,9934.819,804.023,10738.842,61.1453,92.25,347.385,5454.615,5802,307.485,9.5,1147.7592,134.7744,1282.5336,129.1229,1.03,36.598,59.9584,96.5563,17.131,1.96,52.6025,139.0632,191.6657,44.4528,12.66,1824.9462,126.5289,1951.4751,197.8433,0,0,0,0,0,7.645,523.152,191.0587,714.2107,129.8921,8.115,52.4399,661.1652,713.6051,176.6999,0.357,1.5519,18.1772,19.7291,2.6719,8.515,804.3462,171.0123,975.3585,128.7789,6.925,645.7941,141.2374,787.0315,57.5883
1,2014,1/1/2014,1.058,15.797,48.6308,64.4278,28.7945,2.03,210.4515,32.8439,243.2954,20.5367,2.858,229,370.3,599.3,191.2,33.965,3215.5,342,3557.5,62.5,5.65,810.432,32.7632,843.1952,82.8954,0.0072,0.5855,,,,5.2,572.67,989.897,1562.567,22.4721,60.55,7529.9868,789.3018,8319.2886,526.2894,46.5,6545.259,1220.373,7765.632,711.396,10.2535,0.7752,1378.3851,1379.1603,197.0134,2.24,38.9491,289.4936,328.4427,44.8762,0.0127,,,,,0.54,,,,,1.53,294.9534,0.1966,295.15,15.0368,1.065,1.0336,133.0497,134.0833,16.6925,5.85,15.3772,293.8035,309.1808,18.6859,4.3,42.5666,168.8652,211.4317,8.2304,18.14,10.447,2025,2035.447,297.8203,7.005,7.3659,10.0269,17.3928,40.2003,2.4,290.304,65.3184,355.6224,16.3296,0.57,4.9556,38.8474,43.803,13.1431,1.17,276.4125,4.1572,280.5697,40.6879,54.5,9784.7322,769.138,10553.8702,272.0211,89.8667,369.51,4576.3033,4945.8133,152.3233,9.2,1241.163,114.8959,1356.0589,135.0972,1.12,59.2704,73.6646,132.935,21.5914,1.985,63.0277,149.0155,212.0433,45.0198,13.04,2415.3822,74.0514,2489.4336,187.3746,1.68,1.1431,11.4555,12.5986,27.3067,8.2133,680.8536,121.0308,801.8844,149.9791,11.3233,120.8539,970.8458,1091.6997,244.435,0.279,1.9932,2.2548,4.248,3.1006,8.505,787.5819,125.771,913.3529,130.2097,9.085,663.7491,348.2251,1011.9742,85.1993
2,2014,2/1/2014,1.455,5.0599,66.4498,71.5097,20.3496,2.465,196.3899,33.4235,229.8134,28.3292,4.3,404.7,225.9,630.6,338.1,42.918,3921.6,269.6,4191.2,85,6.25,802.116,31.047,833.163,85.806,0.0179,0.9201,,,,6.9,966.42,384.5633,1350.9833,27.7956,70.85,8257.6935,1147.5324,9405.2259,616.1589,86.5,9024.372,2150.064,11174.436,1195.047,16.122,3.5663,1553.8566,1557.4229,192.6012,3.41,42.5363,143.5924,186.1287,19.3347,0.0149,,,,,0.86,,,,,3.005,260.3475,2.9636,263.3111,13.9206,1.509,0.9126,176.8988,177.8114,18.8233,9.085,5.4853,309.9343,315.4196,23.539,4.57,17.7928,146.8341,164.6269,5.1824,18.7633,11.4029,2319,2330.4029,346.8524,8.025,31.4058,9.3075,40.7133,66.201,4.46,124.8,40.4611,165.2611,11.6326,0.7,6.6547,23.0599,29.7146,7.1442,1.34,238.0644,14.6891,252.7535,5.0652,83.2,9043.1189,894.9169,9938.0358,289.0213,86.65,219.915,5219.29,5439.205,426.38,11.6,1136.3436,293.5144,1429.858,122.266,1.815,35.2825,95.4072,130.6897,20.7239,8.59,63.1177,293.9212,357.0389,66.3302,13.885,2063.4264,93.9837,2157.4101,147.2348,11.1,26.4335,11.8741,38.3077,58.7412,11.32,1208.7558,42.6627,1251.4185,205.5375,13.2667,381.5658,1091.5229,1473.0887,254.079,0.4413,1.6939,10.4593,12.1532,4.2017,10.6967,591.8724,271.8788,863.7512,151.5087,18.6875,753.0894,647.2998,1400.3892,129.3903
3,2014,3/1/2014,1.976,5.7513,75.2679,81.0193,18.6732,2.4,181.44,48.9888,230.4288,30.8448,3.253,328.8,124.9,453.7,175.2,39.195,3504.5,369.5,3874,77.5,7.9,982.422,36.4562,1018.8782,75.033,0.0064,0.179,,,,6.6667,924.714,558.6336,1483.3476,29.5936,62.3,7395.0408,985.6161,8380.6569,615.7431,68.5,9204.678,2090.151,11294.829,1270.836,17.809,2.8858,1439.2152,1442.101,189.2725,1.31,16.8361,114.6837,131.5198,20.3024,0.0138,,,,,0.72,,,,,1.72,240.5592,0.5916,241.1508,6.3716,1.34,0.3343,121.6864,122.0207,11.1434,9.6,59.34,239.4458,298.7858,47.01,4.7,2.5165,234.9878,237.5043,35.8079,18.6767,9.4226,2239,2248.4226,336.9511,8.98,30.801,17.073,47.8739,79.6824,2.77,251.2944,95.2825,346.5769,21.9883,0.69,1.3563,28.7684,30.1247,7.8246,1.22,156.3332,9.7766,166.1098,4.6116,56.4,8697.831,725.6744,9423.5054,119.1193,91.45,162.14,4962.735,5124.875,100.805,10.8,1074.087,263.2241,1337.3111,134.0199,1.79,7.4428,90.1258,97.5686,14.8856,4.46,38.7752,261.9858,300.761,47.2046,13.3,1971.3645,32.3568,2003.7213,188.3669,2.68,1.8235,57.7737,59.5971,39.5086,9.305,824.2668,150.3612,974.628,157.0514,11.705,64.6662,843.2358,907.9019,161.8709,0.336,1.2701,14.4675,15.7376,0.63,10.43,428.085,284.8113,712.8963,121.939,13.1133,619.9666,349.3097,969.2764,73.7251
4,2014,4/1/2014,1.969,5.5821,97.5009,103.0831,22.3285,1.71,84.0294,32.9007,116.9301,19.3914,2.81,250.6,170.6,421.2,63.9,43.015,3628,550,4178,99.5,7.895,695.2176,143.1271,838.3447,84.5945,0.0062,0.148,,,,6,692.685,766.6993,1459.3843,20.7541,63.5,6425.4708,966.357,7391.8278,480.06,75,7875.63,1340.5014,9216.1314,874.314,18.0623,2.8235,1662.4099,1665.2334,232.4382,2.847,12.914,248.5943,261.5083,41.9705,0.0162,,,,,0.67,,,,,2.98,315.4032,1.7235,317.1267,14.6437,1.47,0.6112,133.4306,134.0419,8.3349,12.01,113.372,330.0231,443.3951,44.5087,4.88,1.6602,185.2572,186.9174,49.8053,17.17,8.4494,1916,1924.4494,310.8493,8.935,3.5005,11.9705,15.471,57.4976,2.56,139.3,122.8954,262.1954,16.4506,0.72,4.0824,27.2704,31.3528,8.9813,1.57,337.6787,11.9285,349.6073,37.9814,58.15,9129.267,1652.8428,10782.1098,192.4833,88.4,180.08,4562.34,4742.42,119.93,10.7,1279.0008,151.3149,1430.3157,100.2418,1.28,38.2234,57.4318,95.6552,0.0484,2.05,13.9482,150.6406,164.5888,37.9701,13.75,2059.911,38.6941,2098.6051,163.9991,0,0,0,0,0,8.56,1054.053,29.3657,1083.4187,160.0187,15.8,120.0547,887.0375,1007.0922,250.8408,0.369,0.9764,15.7475,16.7239,4.7284,10.085,410.319,327.4049,737.7239,133.9783,6.8933,578.844,106.3292,685.1732,67.2512
5,2014,5/1/2014,1.3,,,,,2.11,151.5402,58.2233,209.7635,30.308,2.58,183.6,113.6,297.2,26.3,36.26,3379,263.5,3642.5,105.5,5.61,837.6291,40.6091,878.2382,76.3409,0.0041,,,,,5.65,689.85,596.072,1285.922,31.7709,50.3,6545.9772,872.5752,7418.5524,499.2624,49,8910.216,276.8094,9187.0254,670.761,11.59,1.7524,1139.458,1141.2104,190.5016,0,0,0,0,0,0.0132,,,,,0.55,,,,,1.3,240.786,0.457,241.243,13.7592,1.29,0.4827,136.597,137.0797,14.6286,3.3,0.9879,121.5062,122.4941,12.8066,3.7133,11.9304,199.704,211.6344,8.0918,19.1,9.3991,2106,2115.3991,369.5186,0,0,0,0,0,2.32,201.7008,86.819,288.5198,19.2931,0.58,7.2349,20.6524,27.8873,6.5772,1.26,220.0414,15.5267,235.5681,9.0493,57.65,10052.9478,973.0382,11025.986,206.9565,77.6,152.955,3996.69,4149.645,361.37,9.8,1601.964,5.8717,1607.8357,167.5598,1.08,85.7304,62.869,148.5994,20.8202,1.982,29.2186,138.2267,167.4453,41.955,11.775,2053.107,35.4347,2088.5417,162.8141,0,0,0,0,0,8.53,773.9172,100.0254,873.9426,180.5404,13.85,5.2353,498.1473,503.3826,185.1633,0.305,3.3895,6.7687,10.1582,3.0782,8.425,542.3544,188.1746,730.529,116.0951,6.37,681.4206,40.4039,721.8245,53.8877
6,2014,6/1/2014,1.2,,,,,1.67,94.689,32.8255,127.5145,19.5691,2.5,218.295,222.7554,441.0504,80.325,34.955,3258.5,268,3526.5,109,5.03,903.42,22.5965,926.0165,71.3286,0.0046,,,,,7,1015.497,498.0188,1513.5158,38.0457,51.2333,6413.1732,659.5344,7072.7076,465.2172,48.5,8985.816,509.2605,9495.0765,551.313,10.487,0.982,1096.729,1097.711,189.1055,0,0,0,0,0,0.0132,,,,,0.55,,,,,1.24,224.9856,0.5015,225.4871,15.4678,1.22,0.4565,147.6911,148.1477,15.6794,2.7,1.0886,127.008,128.0966,6.0556,0,0,0,0,0,17.84,8.7791,2127,2135.7791,345.0861,0,0,0,0,0,2.32,149.0832,157.8528,306.936,20.1701,0.55,4.3659,24.7401,29.106,5.1975,1.04,243.7344,21.9754,265.7098,4.7174,56.9,10067.1228,451.9931,10519.1159,274.0012,80.15,145.99,4097.755,4243.745,169.265,9.4,1611.8865,3.5255,1615.412,136.5279,1.03,50.6142,80.5934,131.2076,19.467,1.832,31.1464,118.1608,149.3073,42.9268,11.33,2034.4149,24.4041,2058.819,169.172,0,0,0,0,0,8.55,888.6591,77.3966,966.0557,193.8006,5.06,1.9127,174.8306,176.7432,64.4301,0.298,2.7485,9.4339,12.1824,3.3793,8.915,624.1158,255.6724,879.7882,132.9029,6.075,680.022,25.6121,705.6341,56.889
7,2014,7/1/2014,1.08,1.8779,78,79.8779,21,1.85,132.87,63.63,196.5,23.78,2.46,195.4,28.85,224.25,17.68,30.89,3378,182.25,3560.25,86.5455,4.7985,751.8167,41.94,793.7567,85.14,0.0035,0.0381,,0.0381,,5.34,650.5,982.455,1632.955,19,50.66,6730.95,649.1,7380.05,456,46.129,7605,444,8049,691,9.8801,1.1204,868,869.1204,190.4666,0,0,0,0,0,0.0121,,,,,0.53,,,,,1.22,190,0.065,190.065,13,1.1854,1.67,94.94,96.61,16.28,0,0,0,0,0,0,0,0,0,0,22.37,11.0083,2282,2293.0083,422.9276,0,0,0,0,0,2.35,201,,,,0.5426,5.2044,25.7512,30.9556,9.3679,1.0788,352.2,40.31,392.51,7.74,54.2,9809,549,10358,263,74.9029,159.92,4743.25,4903.17,244.03,9.0519,1359.2955,12.1051,1371.4006,124,1.06,30.5,66,96.5,18,1.8234,34,132.38,166.38,46.33,10.69,1575.9198,43.3567,1619.2765,174.3333,0,0,0,0,0,8.22,876,74.35,950.35,178,6.1239,16.194,227.714,243.908,149,0.2857,5.4,4.94,10.34,1.88,8.77,539.8409,256.33,796.1709,128.13,6.3274,589.5,34.5,624,37
8,2014,8/1/2014,1.15,1.9127,85.5,87.4127,1.6,1.82,175.92,61.03,236.95,30.45,2.59,202.1,8.56,210.66,12.525,30.37,3572,177.8889,3749.8889,67.5556,4.549,757.48,87.6,845.08,83.435,0.0042,,,,,4.97,523.5,1016.24,1539.74,21.5,50.19,6559.7,533.5,7093.2,570.2,45.2258,8639,748.5,9387.5,658,9.6736,1.175,976.658,977.833,163.0575,0,0,0,0,0,0.0128,0.7475,0.1121,0.8597,0.1152,0.54,48.3386,7.7762,56.1149,7.8813,1.22,160,3,163,11,1.1748,0.62,88.75,89.37,23.0761,0,0,0,0,0,0,0,0,0,0,18.13,26.174,1887,1913.174,351.0421,0,0,0,0,0,2.33,264.222,,,,0.5345,0.8463,25.6004,26.4467,7.2823,1.2225,269.9,12.07,281.97,6.96,55.2,8006,1230,9236,109,75.5861,152.305,4114.7,4267.005,86.76,8.7603,1401,2.565,1403.565,124.5,1.07,47,71,118,21,1.7888,26,112.78,138.78,40.47,10.49,1824.0012,54.2195,1878.2207,163.3,0,0,0,0,0,8.13,844,122.02,966.02,150.55,10.8448,29.4925,495,524.4925,309,0.2783,5.26,8.53,13.79,3.91,8.73,735.7095,201.36,937.0695,111.6,5.9842,617.9,3.835,621.735,26.775
9,2014,9/1/2014,1.17,2.8305,69.1,71.9305,2.1,1.82,190.66,34.47,225.13,15.4,2.63,247.5,17.27,264.77,25.4,30.51,3358,324.6364,3682.6364,82.7,4.8585,651.28,109.86,761.14,81.96,0.0036,,,,,5.66,490.39,942.165,1432.555,25.685,51.5,6239.3,764.5,7003.8,481.05,46.5,8316,927,9243,771,9.5,1.32,759.2,760.52,134.8,0,0,0,0,0,0.0137,,,,,0.54,,,,,1.25,213,2,215,12,1.1715,0.54,90.57,91.11,18.11,0,0,0,0,0,0,0,0,0,0,20.47,10.0733,2246,2256.0733,416.8505,0,0,0,0,0,2.31,200.9,64.45,265.35,16.74,0.5473,0.6245,25.3349,25.9594,10.2006,1.0552,227.556,19.32,246.876,16.3,55.9,9944,235,10179,69,77.5193,181.075,3929.35,4110.425,118.29,8.8887,1440.8982,4.9655,1445.8637,129.5,1.08,37.0667,81.88,118.9467,20.47,1.9387,43,146.33,189.33,44.63,10.74,1989.2628,45.4025,2034.6653,136.1,0,0,0,0,0,8.28,751.5,22.845,774.345,146.55,8.808,6.358,398.726,405.084,205.82,0.3143,5.94,19.13,25.07,1.97,8.81,781.1714,130.67,911.8414,128.575,5.7103,625.55,15.005,640.555,35.67
10,2014,10/1/2014,1.22,1.8908,85.9,87.7908,26.3,1.8,148.02,39.7,187.72,6.73,2.65,168.5,65.03,233.53,37.44,30.19,3618,322.7778,3940.7778,81.1,4.8885,692.1,122.065,814.165,83.665,0.0043,0.1949,,,,7.32,1001.415,725.01,1726.425,52.69,50.58,6779.55,794.85,7574.4,469.5,46.7419,7810,991.5,8801.5,736.5,11.029,1.825,1041.4,1043.225,194.5,0,0,0,0,0,0.0133,,,,,0.53,,,,,1.23,211,1,212,13,1.1472,0.46,100.7,101.16,12.59,0,0,0,0,0,3.3161,2.88,219.6,222.48,41,18.679,8.9436,2261,2269.9436,380.3786,0,0,0,0,0,2.27,217.9,70.41,288.31,13.41,0.5552,6.1317,22.9121,29.0438,7.9712,1.0503,120.9298,21.85,142.7798,3.4,57.3,9109,528,9637,70,79.1113,149.2,4746.15,4895.35,270.03,8.9475,1234.8315,7.471,1242.3025,104.5,1.02,40.9167,81.44,122.3567,18.39,1.8603,34,111.28,145.28,41.55,10.91,1958.8905,38.865,1997.7555,122.985,0,0,0,0,0,8.22,959.5,39.2,998.7,196.7,11.6555,120.4775,495,615.4775,241,0.3106,5.87,4.6,10.47,3.87,8.49,831.0391,105.25,936.2891,103.175,5.8839,570.95,14.995,585.945,39.36
11,2014,11/1/2014,1.37,2.3304,75.9,78.2304,24.6,1.83,186.35,36.63,222.98,50.77,2.92,253.5,22.94,276.44,12.02,31.66,3472,464.6667,3936.6667,92.1111,5.99,678.325,109.945,788.27,84.88,0.0043,0.5235,,,,6.94,760.6567,633.08,1393.7367,28.39,60.7,7735.6667,2074,9809.6667,519.6667,48.7,8226.5,574,8800.5,741.5,12.23,2,1238.75,1240.75,208.75,2.1,26.2,148.6,174.8,26.23,0.0136,0.0069,2.406,2.4128,0.3213,0.61,66.4864,0.4553,66.9418,8.6634,1.2,124.2,0.67,124.87,6.05,1.1971,1.935,109.05,110.985,14.83,9.5345,1.91,356.4,358.31,29.3,3.8003,10.125,228.1,238.225,4.3,19.16,27.6554,2466,2493.6554,403.2571,6.7,5.1983,3.1767,8.375,63.5342,2.35,217.5,36.81,254.31,14.22,0.556,0.444,23.1642,23.6082,0.888,1.0903,67.02,22.28,89.3,1.6,55.1,10118,1328,11446,203,84.9413,166.15,5107.85,5274,475.35,9.0726,1285.6725,50.769,1336.4415,114.5,1.08,26.6,80.78,107.38,18.58,2.4555,45,110.94,155.94,38.13,11.39,2023.5474,59.4067,2082.9541,205.6,0,0,0,0,0,8.43,783,59.72,842.72,191,9.4,186,512,698,260,0.2995,5.66,8.62,14.28,2.6,8.97,866.5882,30.36,896.9482,115.6,6.366,596.1,7.465,603.565,36.545
12,2014,12/1/2014,2.63,7.3566,48.4,55.7566,24.2,3.52,438.48,10.87,449.35,40.34,5.04,386,101.1,487.1,11,47.32,3578,704.6667,4282.6667,146,21.72,658,449,1107,164,0.0111,0.6912,,,,9.56,1069.8433,488.305,1558.1483,36.755,84.86,7471.625,1519.1,8990.725,820.7667,96.1935,7906.6667,2061,9967.6667,1278,22.446,3.12,1472.2,1475.32,225.4,5.4,25.4,309.2,334.6,41.42,0.0202,,,,,1.48,,,,,2.32,234.7,13.04,247.74,18.26,1.9108,8.07,171.45,179.52,14.91,19.4056,5.3,346.5,351.8,91,11.0803,10.6,544.3,554.9,122.5,25.515,23.7944,1891,1914.7944,307.4725,11.1674,16.5953,54.0313,70.6267,77.1876,3.91,301.95,7.06,309.01,10.63,1.22,7.6805,92.8082,100.4887,13,1.1997,161.5,28,189.5,27.4,64.1,6373,544,6917,53,103.7029,225.95,6890.1,7116.05,688.1,18.9428,1145.4912,425,1570.4912,145.5,2.48,33.0714,89.44,122.5114,7.94,6.7788,59,185.38,244.38,40.78,19.14,2423.6982,122.2,2545.8982,151.778,3.8,2.135,277.546,279.681,34,13.27,1035.5,87.715,1123.215,118.8,18.29,515.158,901,1416.158,234,0.591,11.17,15.42,26.59,4.02,21.837,1053.116,117.91,1171.026,104.37,19.7739,432.8,358.46,791.26,68.265
